name,exploration_reason,playground_status,nature_or_water,route_surface,official_directory,verification_status,notes
Ada Hayden Heritage Park,stroller_walk_and_water_views,no_playground,large_lake_and_wetlands,mostly_paved_paths,https://www.cityofames.org/My-Government/Departments/Parks-and-Recreation/Parks,to_verify,Good destination even without playground
Bandshell Park,playground_candidate,likely_playground,open_green_space,unknown,https://www.cityofames.org/My-Government/Departments/Parks-and-Recreation/Parks,to_verify,Verify equipment and shade
Brookside Park,playground_and_creek,confirmed_playground,creek_bridges_and_nature_area,walking_bike_path,https://www.cityofames.org/My-Government/Departments/Parks-and-Recreation/Parks/Brookside-Park,confirmed,Record best low-age equipment
Christopher Gartner Park,playground_candidate,likely_playground,unknown,unknown,https://www.cityofames.org/My-Government/Departments/Parks-and-Recreation/Parks,to_verify,Newer playground candidate
Christofferson Park,playground_candidate,likely_playground,unknown,unknown,https://www.cityofames.org/My-Government/Departments/Parks-and-Recreation/Parks,to_verify,Verify low-age equipment
Country Gables Park,playground_candidate,likely_playground,unknown,unknown,https://www.cityofames.org/My-Government/Departments/Parks-and-Recreation/Parks,to_verify,Verify low-age equipment
Daley Park and Greenbelt,playground_and_water_candidate,likely_playground,greenbelt_and_seasonal_splash_pad,unknown,https://www.cityofames.org/My-Government/Departments/Parks-and-Recreation/Parks,to_verify,Confirm splash pad status
Duff Park,playground_candidate,likely_playground,unknown,unknown,https://www.cityofames.org/My-Government/Departments/Parks-and-Recreation/Parks,to_verify,Verify low-age equipment
Emma McCarthy Lee Park,nature_walk_candidate,unknown,nature_area_and_trails,unknown,https://www.cityofames.org/My-Government/Departments/Parks-and-Recreation/Parks,to_verify,Potential exploration walk
Franklin Park,playground_candidate,likely_playground,unknown,unknown,https://www.cityofames.org/My-Government/Departments/Parks-and-Recreation/Parks,to_verify,Verify low-age equipment
Gateway Park,playground_candidate,likely_playground,nature_area,unknown,https://www.cityofames.org/My-Government/Departments/Parks-and-Recreation/Parks,to_verify,Verify low-age equipment
Greenbriar Park,playground_candidate,likely_playground,unknown,unknown,https://www.cityofames.org/My-Government/Departments/Parks-and-Recreation/Parks,to_verify,Verify low-age equipment
Hira Park,playground_candidate,likely_playground,unknown,unknown,https://www.cityofames.org/My-Government/Departments/Parks-and-Recreation/Parks,to_verify,Verify low-age equipment
Hutchinson Park,playground_candidate,likely_playground,unknown,unknown,https://www.cityofames.org/My-Government/Departments/Parks-and-Recreation/Parks,to_verify,Verify low-age equipment
Inis Grove Park,inclusive_playground_and_trails,confirmed_playground,ravine_and_nature_area,hiking_trails,https://www.cityofames.org/My-Government/Departments/Parks-and-Recreation/Parks/Inis-Grove-Park,confirmed,Explore trail suitability with stroller separately
Lloyd Kurtz Park,playground_candidate,likely_playground,unknown,unknown,https://www.cityofames.org/My-Government/Departments/Parks-and-Recreation/Parks,to_verify,Verify low-age equipment
Moore Memorial Park,playground_and_nature_walk,confirmed_playground,creek_fishing_and_nature_area,walking_bike_path,https://www.cityofames.org/My-Government/Departments/Parks-and-Recreation/Parks/Moore-Memorial-Park,confirmed,Keep child away from water edge
Munn Woods,wild_trail_candidate,no_playground,woodlands,unpaved_trails_likely,https://www.cityofames.org/My-Government/Departments/Parks-and-Recreation/Parks,to_verify,Check trail surface and toddler safety in person
Old Town Park,playground_candidate,likely_playground,unknown,unknown,https://www.cityofames.org/My-Government/Departments/Parks-and-Recreation/Parks,to_verify,Verify low-age equipment
O'Neil Park,playground_candidate,likely_playground,unknown,unknown,https://www.cityofames.org/My-Government/Departments/Parks-and-Recreation/Parks,to_verify,Verify low-age equipment
Parkview Park,playground_candidate,likely_playground,unknown,unknown,https://www.cityofames.org/My-Government/Departments/Parks-and-Recreation/Parks,to_verify,Verify low-age equipment
Patio Homes West Park,playground_candidate,likely_playground,unknown,unknown,https://www.cityofames.org/My-Government/Departments/Parks-and-Recreation/Parks,to_verify,Verify low-age equipment
River Valley Park,playground_and_nature_candidate,likely_playground,nature_area,unknown,https://www.cityofames.org/My-Government/Departments/Parks-and-Recreation/Parks,to_verify,Verify low-age equipment and route
Roosevelt Park,playground_candidate,likely_playground,unknown,unknown,https://www.cityofames.org/My-Government/Departments/Parks-and-Recreation/Parks,to_verify,Verify low-age equipment
Stuart Smith Park,new_playground_and_path,confirmed_playground,open_green_space,walking_bike_path,https://www.cityofames.org/My-Government/Departments/Parks-and-Recreation/Parks/Stuart-Smith-Park,confirmed,Good first exploration stop
Sunset Ridge Park,playground_candidate,likely_playground,unknown,unknown,https://www.cityofames.org/My-Government/Departments/Parks-and-Recreation/Parks,to_verify,Verify low-age equipment
Teagarden Park,playground_candidate,likely_playground,unknown,unknown,https://www.cityofames.org/My-Government/Departments/Parks-and-Recreation/Parks,to_verify,Verify low-age equipment
