name,kind,place,age_fit,low_age_features,water_fountain,water_play,fee,registration_needed,address,source_url,last_verified,notes
Toddler Storytime,library_event,indoor,18_months_plus,music_stories_movement,unknown,no,free,no,515 Douglas Ave Ames IA 50010,https://www.amespubliclibrary.org/events/list,2026-08-15,Confirm the specific day and time before leaving
Ames Public Library Children's Area,library,indoor,0_to_3,books_and_quiet_play,unknown,no,free,no,515 Douglas Ave Ames IA 50010,https://www.amespubliclibrary.org/,2026-08-15,Good rainy-day backup
Stuart Smith Park,park,outdoor,needs_parent_check,new_playground_and_path,not_listed,no,free,no,1501 South 4th St Ames IA 50010,https://www.cityofames.org/My-Government/Departments/Parks-and-Recreation/Parks/Stuart-Smith-Park,2026-08-15,Record which equipment your child can use after next visit
Brookside Park,park,outdoor,needs_parent_check,playground_and_walking_path,yes,no,free,no,1325 6th St Ames IA 50010,https://www.cityofames.org/My-Government/Departments/Parks-and-Recreation/Parks/Brookside-Park,2026-08-15,Record suitable equipment and shade after next visit
Inis Grove Park,park,outdoor,needs_parent_check,two_playgrounds_inclusive_playground_hiking_trails,yes,no,free,no,2500 Duff Ave Ames IA 50010,https://www.cityofames.org/My-Government/Departments/Parks-and-Recreation/Parks/Inis-Grove-Park,2026-08-15,Record which playground section works best for 18 months
Moore Memorial Park,park,outdoor,needs_parent_check,playground_paths_nature_area,yes,no,free,no,3050 Northridge Pkwy Ames IA 50010,https://www.cityofames.org/My-Government/Departments/Parks-and-Recreation/Parks/Moore-Memorial-Park,2026-08-15,Keep child away from fishing and water areas
Reiman Gardens,garden,outdoor,needs_parent_check,walking_and_nature_exploration,unknown,no,paid,check_event,1407 University Blvd Ames IA 50011,https://reimangardens.com/,2026-08-15,Special 20-minute destination
Labyrinth Coffee,coffee_shop_play_area,indoor,low_age_parent_confirmed,toys_and_lego,unknown,no,purchase_optional,no,unknown,https://www.labyrinthcoffeeames.org/,2026-08-15,Parent-confirmed children's area; confirm current toys and opening hours before relying on it
Furman Aquatic Center,aquatic_center,outdoor,18_months_plus,zero_depth_entry_spray_features_toddler_slide,unknown,yes,paid,no,1635 13th St Ames IA 50010,https://www.cityofames.org/My-Government/Departments/Parks-and-Recreation/Facilities/Furman-Aquatic-Center,2026-08-15,Check hours and weather cancellations; adult supervision is required
Play Pals Indoor Playground,indoor_playground,indoor,5_and_under,slide_teeter_totter_cycles_wagons_and_toys,unknown,no,paid,no,515 Clark Ave Ames IA 50010,https://www.cityofames.org/My-Government/Departments/Parks-and-Recreation/Facilities/Community-Center,2026-08-15,Only show Mon-Fri 9-11 between Labor Day and Memorial Day; confirm current schedule
